Date,Open,High,Low,Close,Volume
2023-09-01,76.33474614234467,76.60862160201569,76.04375045231914,76.47168731689453,1995433
2023-09-04,76.45456178355307,76.82258126107575,75.84689354483329,76.19779968261719,1627660
2023-09-05,75.97528149388609,76.23203671706594,75.07661754447095,75.13652801513672,2364068
2023-09-06,74.69147525860707,74.69147525860707,73.71578753147219,74.64012145996094,2675011
2023-09-07,74.69147837960693,75.85546112060547,74.40904625410838,75.85546112060547,2534512
2023-09-08,75.74419745927334,75.7698743598763,74.93112086808465,75.4189682006836,2107638
2023-09-11,75.53023420276979,75.83834323820224,75.0851839907958,75.58158111572266,1936362
2023-09-12,75.98383692665017,77.22484344990325,75.88969288705557,76.74555969238281,2632876
2023-09-13,76.56583048672411,77.1563785305004,76.28339147038386,76.87393951416016,2227460
2023-09-14,77.02799290572322,78.1235016053777,76.90817196464047,78.0807113647461,3147833
2023-09-15,78.75684906748884,79.55280543764987,78.47441004702611,78.9622573852539,9595581
2023-09-18,78.54287859358321,79.27036088072735,78.31179339105856,78.75684356689453,2465488
2023-09-19,78.26043946153618,79.04783910489172,77.76403548832134,78.7397232055664,2837748
2023-09-20,79.45009578448726,79.9379431101301,78.90234487752986,79.50144958496094,2188291
2023-09-21,79.5014513660297,80.44290557847195,79.2018990056033,79.34739685058594,3289856
2023-09-22,78.99648639451068,79.07351709275976,78.48296907446858,78.6883773803711,2418506
2023-09-25,79.16765594482422,79.2960335440678,78.50007727201624,79.16765594482422,2636169
2023-09-26,79.59559280299342,80.22037440419955,79.36450759268041,79.5870361328125,3983101
2023-09-27,79.78388899207344,79.89514637441101,78.94513550810001,79.13343048095703,2959573
2023-09-28,79.36450129510487,80.20325469970703,79.27035726229951,80.20325469970703,3377994
2023-09-29,79.74966113855885,81.11048872938676,79.74966113855885,80.34020233154297,4517754
2023-10-02,80.53704353735402,80.70821827021669,79.11630565556456,79.91226196289062,3356429
2023-10-03,80.0149643645989,80.15190553167668,78.1406196014883,78.6883773803711,3547110
2023-10-04,79.37468112402888,80.42217047105433,78.76063326907317,79.10377502441406,4218675
2023-10-05,79.4649841591455,79.60043721457522,77.90277178012282,78.76966857910156,3655459
2023-10-06,79.59139998663261,80.28672241079016,79.42885770859574,79.80812072753906,3744273
2023-10-09,79.8352158422297,80.26865731857988,79.29340366264991,79.58236694335938,2732533
2023-10-10,79.76297686811871,80.50344573865294,79.76297686811871,80.47635650634766,3960548
2023-10-11,80.81949050821822,81.41548111944994,80.50343801260794,80.9820327758789,3973730
2023-10-12,80.58471440913866,81.06330922412319,80.01581985556942,80.41314697265625,3433935
2023-10-13,80.25962799453079,80.25962799453079,78.9773538235774,79.03153228759766,3767434
2023-10-16,79.40177013593295,79.40177013593295,78.40845925581348,78.74256896972656,2516664
2023-10-17,78.58906068993913,79.33856161132758,78.56197145726243,78.90511322021484,2908043
2023-10-18,78.15562051129376,78.93221067850524,77.54157263232257,78.69742584228516,3720150
2023-10-19,78.0472561943669,78.25495179613453,76.06965951488976,76.53019714355469,3430309
2023-10-20,76.26832052839298,77.22551013808366,76.23219925583864,76.57534790039062,3517097
2023-10-23,76.54825334231089,76.6656492028672,75.69942753294693,76.304443359375,2971011
2023-10-24,76.34056194534351,77.00878825415283,74.94992397497997,76.85527801513672,3572625
2023-10-25,76.41280359435954,77.6860456933858,76.33152901090827,77.49641418457031,2637263
2023-10-26,77.71314119931414,77.83053706384143,76.82819408672428,76.83721923828125,2535196
2023-10-27,76.93654657009391,77.45126264564053,75.55494062464922,75.63621520996094,3353406
2023-10-30,76.09674466664875,76.68370327728266,75.97032365998028,76.42182922363281,3277853
