Date,Open,High,Low,Close,Volume
2023-09-01,84.53355407714844,84.83684539794922,84.2113037109375,84.6852035522461,1995433
2023-09-04,84.66624450683594,85.07379150390625,83.9933090209961,84.38190460205078,1627660
2023-09-05,84.13548278808594,84.41981506347656,83.14029693603516,83.2066421508789,2364068
2023-09-06,82.71379089355469,82.71379089355469,81.63330841064453,82.65692138671875,2675011
2023-09-07,82.71379089355469,84.00279235839844,82.4010238647461,84.00279235839844,2534512
2023-09-08,83.87957763671875,83.90801239013672,82.97917175292969,83.51941680908203,2107638
2023-09-11,83.64263153076172,83.98383331298828,83.1497802734375,83.69949340820312,1936362
2023-09-12,84.14495849609375,85.51925659179688,84.04070281982422,84.98849487304688,2632876
2023-09-13,84.78945922851562,85.44343566894531,84.4766845703125,85.13066101074219,2227460
2023-09-14,85.30126190185547,86.51443481445312,85.16857147216797,86.46704864501953,3147833
2023-09-15,87.21580505371094,88.09725189208984,86.90303039550781,87.44327545166016,9595581
2023-09-18,86.9788589477539,87.78447723388672,86.72295379638672,87.21580505371094,2465488
2023-09-19,86.66608428955078,87.53805541992188,86.11636352539062,87.19684600830078,2837748
2023-09-20,87.98351287841797,88.52375793457031,87.3769302368164,88.0403823852539,2188291
2023-09-21,88.0403823852539,89.08295440673828,87.70865631103516,87.86978149414062,3289856
2023-09-22,87.48118591308594,87.56649017333984,86.91251373291016,87.13998413085938,2418506
2023-09-25,87.67074584960938,87.81291198730469,86.93146514892578,87.67074584960938,2636169
2023-09-26,88.14463806152344,88.8365249633789,87.88873291015625,88.13516235351562,3983101
2023-09-27,88.35315704345703,88.47636413574219,87.42431640625,87.6328353881836,2959573
2023-09-28,87.88873291015625,88.81757354736328,87.78447723388672,88.81757354736328,3377994
2023-09-29,88.31524658203125,89.82223510742188,88.31524658203125,88.9692153930664,4517754
2023-10-02,89.18721008300781,89.37677001953125,87.61387634277344,88.49532318115234,3356429
2023-10-03,88.60905456542969,88.76070404052734,86.53339385986328,87.13998413085938,3547110
2023-10-04,87.9000015258789,89.05999755859375,87.22000122070312,87.5999984741211,4218675
2023-10-05,88.0,88.1500015258789,86.2699966430664,87.2300033569336,3655459
2023-10-06,88.13999938964844,88.91000366210938,87.95999908447266,88.37999725341797,3744273
2023-10-09,88.41000366210938,88.88999938964844,87.80999755859375,88.12999725341797,2732533
2023-10-10,88.33000183105469,89.1500015258789,88.33000183105469,89.12000274658203,3960548
2023-10-11,89.5,90.16000366210938,89.1500015258789,89.68000030517578,3973730
2023-10-12,89.23999786376953,89.7699966430664,88.61000061035156,89.05000305175781,3433935
2023-10-13,88.87999725341797,88.87999725341797,87.45999908447266,87.5199966430664,3767434
2023-10-16,87.93000030517578,87.93000030517578,86.83000183105469,87.19999694824219,2516664
2023-10-17,87.02999877929688,87.86000061035156,87.0,87.37999725341797,2908043
2023-10-18,86.55000305175781,87.41000366210938,85.87000274658203,87.1500015258789,3720150
2023-10-19,86.43000030517578,86.66000366210938,84.23999786376953,84.75,3430309
2023-10-20,84.45999908447266,85.5199966430664,84.41999816894531,84.80000305175781,3517097
2023-10-23,84.7699966430664,84.9000015258789,83.83000183105469,84.5,2971011
2023-10-24,84.54000091552734,85.27999877929688,83.0,85.11000061035156,3572625
2023-10-25,84.62000274658203,86.02999877929688,84.52999877929688,85.81999969482422,2637263
2023-10-26,86.05999755859375,86.19000244140625,85.08000183105469,85.08999633789062,2535196
2023-10-27,85.19999694824219,85.7699966430664,83.66999816894531,83.76000213623047,3353406
2023-10-30,84.2699966430664,84.91999816894531,84.12999725341797,84.62999725341797,3277853
