Date,Open,High,Low,Close,Volume
1998-10-06,170.69651438478155,174.0878358626249,170.41390426162795,173.24000549316406,0
1998-10-07,180.30527106984053,187.37052463840794,167.02259436093377,177.76177978515625,0
1998-10-08,172.10956308004018,178.04437560004155,162.50081900003792,167.30519104003906,0
1998-10-09,167.87041871939132,176.34872269511817,164.76170726162482,170.41390991210938,0
1998-10-12,181.71834951406487,189.0662143466709,180.0226883988481,188.2183837890625,0
1998-10-13,188.78357661700915,192.74011864191652,183.41398386892055,191.8922882080078,0
1998-10-14,192.17490540391486,205.45758268918544,192.17490540391486,205.1749725341797,0
1998-10-15,217.32721552390197,219.87070699297234,211.10979193284106,214.50111389160156,0
1998-10-16,224.67507976788303,225.80552042080322,209.69674111669084,214.50111389160156,0
1998-10-19,221.5663446649775,224.1098358664887,214.50109132744632,219.58807373046875,0
1998-10-20,221.84899299222036,227.50119663533425,219.3055013528191,226.6533660888672,0
1998-10-21,225.8055374952648,228.91424952586294,223.54465601846616,224.39248657226562,0
1998-10-22,227.21857009868157,230.89250220226722,219.02287540606744,220.71853637695312,0
1998-10-23,221.28372336110763,223.8272144342238,214.7836906186996,219.02284240722656,0
1998-10-26,222.9794116496437,225.52290303728222,222.13158118709754,223.5446319580078,0
1998-10-27,226.08808968885535,228.91419080996604,224.95764924041106,228.0663604736328,0
1998-10-28,225.52291164373955,229.76206411824595,219.02287784949644,222.41419982910156,0
1998-10-29,221.84899491086716,226.08814767986462,219.02289306486887,224.39248657226562,0
1998-10-30,232.30557726339552,238.8056116637095,231.45774668944154,237.6751708984375,0
1998-11-02,236.82729842112616,239.93600997558008,234.00119700798624,235.1316375732422,0
1998-11-03,233.7186282199855,240.2186626202995,233.1534078373495,237.6751708984375,0
1998-11-04,239.9360207107915,247.28388471371326,239.0881902489159,243.89256286621094,0
1998-11-05,243.89257070326948,245.30562151846803,236.26209630119732,238.8055877685547,0
1998-11-06,242.1968515747355,243.60990205066744,239.653360718058,242.47946166992188,0
1998-11-09,245.0230113554283,246.15345200758716,237.67514711639586,238.8055877685547,0
1998-11-10,236.8273074039082,237.67513786000814,224.95768101850948,225.80551147460938,0
1998-11-11,230.3272406956285,234.2837822535902,228.9141901392136,232.30551147460938,0
1998-11-12,228.34898343373496,234.56640625000003,227.50115304969881,234.56640625,0
